PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=300 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=172 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=176 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=170 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=90.6 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=96.0 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=109 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=128 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=187 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=192 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=173 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=176 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=192 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=198 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=204 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=210 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=218 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=243 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=240 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=236 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=251 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=246 ms
