PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=264 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=268 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=278 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=283 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=275 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=269 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=263 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=267 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=224 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=186 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=138 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=159 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=187 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=204 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=188 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=185 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=205 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=218 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=214 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=238 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=217 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=192 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=157 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=162 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=167 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=165 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=304 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=285 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=204 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=202 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=199 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=199 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=204 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=210 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=218 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=211 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=222 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=240 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=232 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=234 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=257 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=255 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=252 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=249 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=269 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=255 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=269 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=264 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=270 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=266 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=269 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=275 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=290 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=296 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=283 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=281 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=269 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=272 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=226 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=184 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=155 ms

--- 10.0.0.2 ping statistics ---
100 packets transmitted, 92 received, 8% packet loss, time 10230ms
rtt min/avg/max/mdev = 90.550/213.164/303.858/51.944 ms, pipe 3
